Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MO-St Louis Urban,41180,"2,478.30","826,285","820,477","813,875","813,696","841,271","861,625","866,983","851,431","846,109","844,644","859,590","857,826","852,525","845,823","833,844","828,459","831,217","823,820","806,665","777,619","802,768","811,209","812,499","810,610","824,807","843,639","851,058","839,034"
MA-Baltimore,12580,"1,788.54","1,186,573","1,166,791","1,167,731","1,184,193","1,192,849","1,209,061","1,222,189","1,238,394","1,237,925","1,248,717","1,276,152","1,284,730","1,284,640","1,285,369","1,287,972","1,306,160","1,331,640","1,342,440","1,345,519","1,316,163","1,309,166","1,328,774","1,349,667","1,360,689","1,372,186","1,396,958","1,418,699","1,436,175"
MA-Baltimore Suburban,12580,354,"176,834","176,632","179,846","183,804","188,205","193,914","199,675","205,373","207,614","211,909","219,371","222,522","226,256","228,922","231,522","237,108","243,744","243,786","244,953","239,305","232,960","236,108","238,938","239,471","240,685","244,190","247,846","251,111"
MA-Baltimore Urban,12580,"2,864.45","1,009,739","990,159","987,885","1,000,389","1,004,644","1,015,147","1,022,514","1,033,021","1,030,311","1,036,808","1,056,781","1,062,208","1,058,384","1,056,447","1,056,450","1,069,052","1,087,896","1,098,654","1,100,566","1,076,858","1,076,206","1,092,666","1,110,729","1,121,218","1,131,501","1,152,768","1,170,853","1,185,064"
SC-Charlotte,16740,"1,069.36","724,206","717,265","726,499","748,182","774,268","795,241","825,052","848,261","858,572","890,554","907,432","910,564","903,299","917,521","924,669","946,471","992,933","1,015,146","1,017,246","962,926","1,007,365","1,031,207","1,065,187","1,090,236","1,129,096","1,172,573","1,221,703","1,259,286"
SC-Charlotte Suburban,16740,465.25,"389,113","384,290","389,210","398,419","409,567","417,486","428,866","438,223","442,538","457,107","456,319","451,008","446,147","451,079","454,288","462,475","482,010","491,039","487,639","460,616","467,505","475,326","487,519","496,124","512,141","530,889","552,466","568,661"
SC-Charlotte Urban,16740,"3,485.80","335,093","332,975","337,289","349,763","364,701","377,755","396,186","410,038","416,034","433,447","451,113","459,556","457,152","466,442","470,381","483,996","510,923","524,107","529,607","502,310","539,860","555,881","577,668","594,112","616,955","641,684","669,237","690,625"
FL-Orlando,36740,"1,740.68","649,992","646,857","666,146","692,953","722,481","746,275","773,408","813,985","852,993","890,139","866,724","875,348","864,129","885,436","925,588","979,207","1,027,465","1,056,201","1,050,969","990,325","1,011,145","1,031,839","1,064,895","1,096,586","1,132,188","1,156,895","1,198,070","1,253,854"
FL-Orlando Suburban,36740,202.4,"56,163","57,236","59,283","62,313","65,197","68,820","72,492","76,528","80,791","85,348","86,592","89,394","91,003","96,488","104,334","111,999","120,750","127,164","129,094","123,212","120,253","124,469","129,979","136,118","142,484","148,075","153,357","162,768"
FL-Orlando Urban,36740,"2,253.43","593,829","589,621","606,863","630,640","657,284","677,455","700,916","737,457","772,202","804,791","780,132","785,954","773,126","788,948","821,254","867,208","906,715","929,037","921,875","867,113","890,892","907,370","934,916","960,468","989,704","1,008,820","1,044,713","1,091,086"
TX-San Antonio,41700,351.55,"623,294","632,174","658,451","684,186","711,094","733,744","746,264","766,810","777,547","797,199","787,869","795,000","806,953","816,549","830,277","849,881","873,894","885,352","901,024","901,498","943,771","965,022","987,376","1,012,156","1,036,919","1,060,487","1,093,137","1,125,240"
TX-San Antonio Suburban,41700,204.19,"100,754","103,710","107,846","114,091","120,895","127,543","132,356","137,521","141,698","148,633","151,774","154,945","158,454","161,857","166,336","172,201","179,430","181,883","187,133","189,085","190,458","194,883","200,162","206,001","212,283","217,829","224,112","232,963"
TX-San Antonio Urban,41700,"1,383.10","522,540","528,464","550,605","570,095","590,199","606,201","613,908","629,289","635,849","648,566","636,095","640,055","648,499","654,692","663,941","677,680","694,464","703,469","713,891","712,413","753,313","770,139","787,214","806,155","824,636","842,658","869,025","892,277"
OR-Portland,38900,555.2,"808,171","816,522","828,233","859,020","904,418","935,620","965,701","1,001,044","1,020,195","1,030,110","1,031,816","1,017,735","1,002,922","996,601","1,007,483","1,029,285","1,061,879","1,087,985","1,099,219","1,055,193","1,084,124","1,105,838","1,103,186","1,094,329","1,125,802","1,164,833","1,215,889","1,259,175"
