CBSA,CBSA Code,Pop Density,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
FL-Tampa Bay,45300,"1,385.05",-1.49%,1.10%,3.18%,5.12%,2.46%,1.57%,3.90%,3.60%,2.85%,-4.32%,0.31%,-0.93%,0.80%,3.75%,0.35%,2.67%,0.22%,-2.05%,-5.37%,6.80%,2.28%,2.81%,2.10%,2.00%,1.23%,3.11%,3.14%
FL-Tampa Bay Suburban,45300,493.9,-0.75%,1.53%,4.49%,6.81%,3.56%,3.37%,4.39%,4.32%,3.47%,3.74%,1.82%,0.88%,3.11%,6.77%,3.21%,5.72%,1.95%,-0.65%,-5.82%,6.19%,0.92%,2.82%,2.16%,2.15%,1.56%,3.13%,4.16%
FL-Tampa Bay Urban,45300,"2,276.20",-1.61%,1.03%,2.96%,4.84%,2.27%,1.26%,3.81%,3.47%,2.74%,-5.77%,0.01%,-1.30%,0.33%,3.11%,-0.28%,1.98%,-0.19%,-2.38%,-5.26%,6.95%,2.60%,2.81%,2.09%,1.97%,1.15%,3.11%,2.90%
CO-Denver,19740,"1,035.60",1.50%,1.81%,4.87%,6.02%,4.07%,0.63%,3.86%,4.22%,2.20%,1.30%,-1.18%,-0.96%,1.78%,1.95%,1.56%,2.69%,2.11%,1.32%,-2.72%,0.87%,0.97%,1.82%,2.64%,3.55%,2.38%,2.68%,3.61%
CO-Denver Suburban,19740,203.17,2.23%,2.19%,4.87%,6.36%,4.26%,0.63%,3.67%,4.62%,2.22%,-1.91%,-0.98%,-0.18%,2.23%,2.33%,2.03%,3.01%,1.31%,1.36%,-2.47%,0.23%,0.96%,1.71%,2.59%,3.62%,2.29%,2.73%,3.46%
CO-Denver Urban,19740,"2,284.25",1.01%,1.55%,4.87%,5.78%,3.93%,0.63%,3.99%,3.93%,2.18%,3.57%,-1.31%,-1.48%,1.48%,1.69%,1.24%,2.47%,2.67%,1.30%,-2.90%,1.32%,0.98%,1.90%,2.68%,3.50%,2.44%,2.65%,3.72%
MO-St Louis,41180,"1,009.92",-0.92%,-0.31%,0.46%,3.12%,2.46%,1.30%,-0.46%,-0.10%,0.38%,2.16%,-0.26%,-0.40%,-0.37%,-0.57%,0.68%,1.36%,-0.13%,-1.82%,-3.69%,3.61%,1.04%,-0.07%,-0.37%,1.86%,2.30%,0.98%,-0.75%
MO-St Louis Suburban,41180,275.73,-1.33%,0.66%,1.38%,2.63%,2.53%,2.58%,2.02%,0.84%,1.36%,2.84%,-0.37%,-0.03%,0.35%,0.87%,2.86%,2.99%,1.06%,-1.42%,-3.82%,4.19%,1.02%,-0.41%,-0.58%,2.02%,2.32%,1.14%,0.25%
MO-St Louis Urban,41180,"2,478.30",-0.70%,-0.80%,-0.02%,3.39%,2.42%,0.62%,-1.79%,-0.63%,-0.17%,1.77%,-0.21%,-0.62%,-0.79%,-1.42%,-0.65%,0.33%,-0.89%,-2.08%,-3.60%,3.23%,1.05%,0.16%,-0.23%,1.75%,2.28%,0.88%,-1.41%
MA-Baltimore,12580,"1,788.54",-1.67%,0.08%,1.41%,0.73%,1.36%,1.09%,1.33%,-0.04%,0.87%,2.20%,0.67%,-0.01%,0.06%,0.20%,1.41%,1.95%,0.81%,0.23%,-2.18%,-0.53%,1.50%,1.57%,0.82%,0.84%,1.81%,1.56%,1.23%
MA-Baltimore Suburban,12580,354,-0.11%,1.82%,2.20%,2.39%,3.03%,2.97%,2.85%,1.09%,2.07%,3.52%,1.44%,1.68%,1.18%,1.14%,2.41%,2.80%,0.02%,0.48%,-2.31%,-2.65%,1.35%,1.20%,0.22%,0.51%,1.46%,1.50%,1.32%
MA-Baltimore Urban,12580,"2,864.45",-1.94%,-0.23%,1.27%,0.43%,1.05%,0.73%,1.03%,-0.26%,0.63%,1.93%,0.51%,-0.36%,-0.18%,0.00%,1.19%,1.76%,0.99%,0.17%,-2.15%,-0.06%,1.53%,1.65%,0.94%,0.92%,1.88%,1.57%,1.21%
SC-Charlotte,16740,"1,069.36",-0.96%,1.29%,2.98%,3.49%,2.71%,3.75%,2.81%,1.22%,3.73%,1.90%,0.35%,-0.80%,1.57%,0.78%,2.36%,4.91%,2.24%,0.21%,-5.34%,4.61%,2.37%,3.30%,2.35%,3.56%,3.85%,4.19%,3.08%
SC-Charlotte Suburban,16740,465.25,-1.24%,1.28%,2.37%,2.80%,1.93%,2.73%,2.18%,0.98%,3.29%,-0.17%,-1.16%,-1.08%,1.11%,0.71%,1.80%,4.22%,1.87%,-0.69%,-5.54%,1.50%,1.67%,2.57%,1.77%,3.23%,3.66%,4.06%,2.93%
SC-Charlotte Urban,16740,"3,485.80",-0.63%,1.30%,3.70%,4.27%,3.58%,4.88%,3.50%,1.46%,4.19%,4.08%,1.87%,-0.52%,2.03%,0.84%,2.89%,5.56%,2.58%,1.05%,-5.15%,7.48%,2.97%,3.92%,2.85%,3.84%,4.01%,4.29%,3.20%
