Region,Lat,Long,CBSA Code,Pop Density,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OR-Portland,45.5122,-122.6587,38900,555.2,"1,086,648.00","1,105,363.00","1,134,271.00","1,157,782.00","1,174,818.00","1,192,513.00","1,213,099.00","1,242,447.00","1,275,260.00","1,312,323.00","1,347,077.00","1,364,529.00","1,373,347.00","1,371,006.00","1,380,349.00","1,391,434.00","1,409,737.00","1,423,237.00","1,454,151.00","1,487,210.00","1,535,965.00","1,584,767.00","1,625,751.00","1,669,701.00","1,708,216.00","1,749,224.00","1,797,066.00","1,839,867.00","1,875,365.00","1,906,262.00","1,934,792.00","1,971,152.00","2,002,918.00","2,024,115.00","2,039,297.00","2,067,325.00","2,103,164.00","2,137,828.00","2,172,853.00","2,206,737.00","2,231,876.00","2,258,821.00","2,285,177.00","2,309,289.00","2,342,444.00","2,382,181.00","2,423,102.00","2,453,168.00"
OR-Portland Suburban,45.5122,-122.6587,38900,363.58,"531,883.00","550,173.00","574,644.00","603,522.00","621,010.00","645,118.00","665,723.00","689,458.00","723,066.00","755,523.00","783,445.00","798,331.00","808,157.00","808,641.00","816,960.00","827,182.00","843,279.00","859,680.00","881,132.00","910,404.00","949,348.00","986,481.00","1,018,783.00","1,052,982.00","1,085,574.00","1,119,607.00","1,157,479.00","1,192,784.00","1,222,949.00","1,248,522.00","1,273,138.00","1,301,462.00","1,326,265.00","1,344,767.00","1,366,771.00","1,392,463.00","1,419,397.00","1,440,029.00","1,459,864.00","1,479,016.00","1,494,694.00","1,510,975.00","1,526,663.00","1,543,812.00","1,565,026.00","1,591,876.00","1,621,563.00","1,645,613.00"
OR-Portland Urban,45.5122,-122.6587,38900,"1,704.90","554,765.00","555,190.00","559,627.00","554,260.00","553,808.00","547,395.00","547,376.00","552,989.00","552,194.00","556,800.00","563,632.00","566,198.00","565,190.00","562,365.00","563,389.00","564,252.00","566,458.00","563,557.00","573,019.00","576,806.00","586,617.00","598,286.00","606,968.00","616,719.00","622,642.00","629,617.00","639,587.00","647,083.00","652,416.00","657,740.00","661,654.00","669,690.00","676,653.00","679,348.00","672,526.00","674,862.00","683,767.00","697,799.00","712,989.00","727,721.00","737,182.00","747,846.00","758,514.00","765,477.00","777,418.00","790,305.00","801,539.00","807,555.00"
PA-Pittsburgh,40.4406,-79.9959,38300,727.31,"2,759,836.00","2,760,948.00","2,751,875.00","2,730,062.00","2,703,029.00","2,700,738.00","2,693,973.00","2,683,611.00","2,674,763.00","2,659,646.00","2,647,555.00","2,630,719.00","2,620,326.00","2,606,786.00","2,581,956.00","2,542,680.00","2,516,612.00","2,494,859.00","2,479,875.00","2,469,923.00","2,469,681.00","2,476,980.00","2,486,034.00","2,490,949.00","2,486,989.00","2,480,098.00","2,471,209.00","2,460,208.00","2,449,747.00","2,438,518.00","2,428,303.00","2,417,480.00","2,408,348.00","2,401,168.00","2,389,107.00","2,374,483.00","2,364,039.00","2,358,914.00","2,356,802.00","2,355,432.00","2,356,983.00","2,359,626.00","2,360,263.00","2,359,977.00","2,356,699.00","2,349,139.00","2,341,536.00","2,333,367.00"
PA-Pittsburgh Suburban,40.4406,-79.9959,38300,474.56,"1,002,147.00","1,011,714.00","1,019,289.00","1,021,842.00","1,018,957.00","1,028,988.00","1,035,102.00","1,036,432.00","1,039,587.00","1,042,579.00","1,039,720.00","1,035,731.00","1,034,007.00","1,029,036.00","1,021,523.00","1,008,532.00","999,615.00","990,909.00","986,206.00","984,636.00","987,465.00","992,031.00","997,806.00","1,004,281.00","1,006,586.00","1,008,767.00","1,008,668.00","1,006,761.00","1,005,667.00","1,002,414.00","1,000,438.00","998,845.00","997,954.00","999,152.00","998,082.00","997,249.00","996,849.00","996,273.00","996,918.00","995,811.00","996,647.00","995,875.00","994,139.00","991,499.00","989,192.00","985,797.00","981,591.00","978,815.00"
PA-Pittsburgh Urban,40.4406,-79.9959,38300,"1,359.20","1,757,689.00","1,749,234.00","1,732,586.00","1,708,220.00","1,684,072.00","1,671,750.00","1,658,871.00","1,647,179.00","1,635,176.00","1,617,067.00","1,607,835.00","1,594,988.00","1,586,319.00","1,577,750.00","1,560,433.00","1,534,148.00","1,516,997.00","1,503,950.00","1,493,669.00","1,485,287.00","1,482,216.00","1,484,949.00","1,488,228.00","1,486,668.00","1,480,403.00","1,471,331.00","1,462,541.00","1,453,447.00","1,444,080.00","1,436,104.00","1,427,865.00","1,418,635.00","1,410,394.00","1,402,016.00","1,391,025.00","1,377,234.00","1,367,190.00","1,362,641.00","1,359,884.00","1,359,621.00","1,360,336.00","1,363,751.00","1,366,124.00","1,368,478.00","1,367,507.00","1,363,342.00","1,359,945.00","1,354,552.00"
CA-Sacremento,38.5816,-121.4944,40900,505.58,"853,293.00","876,063.00","902,662.00","905,852.00","927,325.00","948,860.00","971,064.00","1,000,064.00","1,040,737.00","1,071,492.00","1,106,767.00","1,133,334.00","1,168,546.00","1,193,995.00","1,218,390.00","1,250,753.00","1,285,093.00","1,331,257.00","1,378,889.00","1,428,485.00","1,521,462.00","1,566,994.00","1,591,373.00","1,608,074.00","1,621,444.00","1,645,098.00","1,672,583.00","1,700,488.00","1,731,847.00","1,767,237.00","1,807,949.00","1,866,310.00","1,923,508.00","1,970,542.00","2,008,663.00","2,034,850.00","2,057,885.00","2,082,217.00","2,108,310.00","2,132,657.00","2,153,935.00","2,174,008.00","2,192,724.00","2,213,564.00","2,239,455.00","2,266,892.00","2,295,233.00","2,324,884.00"
CA-Sacremento Suburban,38.5816,-121.4944,40900,183.83,"215,039.00","222,267.00","233,310.00","235,920.00","243,768.00","251,509.00","259,316.00","272,496.00","292,457.00","303,005.00","318,763.00","327,048.00","336,395.00","341,365.00","348,812.00","359,649.00","369,049.00","382,737.00","399,604.00","419,733.00","445,643.00","459,435.00","469,850.00","480,466.00","491,350.00","504,273.00","516,948.00","530,633.00","545,230.00","560,578.00","578,009.00","600,053.00","622,429.00","642,011.00","659,731.00","674,034.00","688,322.00","701,056.00","713,872.00","724,056.00","732,284.00","739,502.00","746,139.00","754,090.00","761,933.00","770,762.00","781,973.00","794,269.00"
CA-Sacremento Urban,38.5816,-121.4944,40900,"1,470.80","638,254.00","653,796.00","669,352.00","669,932.00","683,557.00","697,351.00","711,748.00","727,568.00","748,280.00","768,487.00","788,004.00","806,286.00","832,151.00","852,630.00","869,578.00","891,104.00","916,044.00","948,520.00","979,285.00","1,008,752.00","1,075,819.00","1,107,559.00","1,121,523.00","1,127,608.00","1,130,094.00","1,140,825.00","1,155,635.00","1,169,855.00","1,186,617.00","1,206,659.00","1,229,940.00","1,266,257.00","1,301,079.00","1,328,531.00","1,348,932.00","1,360,816.00","1,369,563.00","1,381,161.00","1,394,438.00","1,408,601.00","1,421,651.00","1,434,506.00","1,446,585.00","1,459,474.00","1,477,522.00","1,496,130.00","1,513,260.00","1,530,615.00"
OH-Cincinnati,,,17140,828.32,"1,683,940.00","1,690,920.00","1,689,444.00","1,699,458.00","1,697,593.00","1,695,148.00","1,704,810.00","1,714,862.00","1,728,393.00","1,735,775.00","1,743,463.00","1,747,043.00","1,751,060.00","1,751,730.00","1,759,684.00","1,769,640.00","1,782,797.00","1,800,479.00","1,811,513.00","1,820,823.00","1,837,214.00","1,858,915.00","1,878,558.00","1,900,124.00","1,913,442.00","1,926,822.00","1,939,779.00","1,956,236.00","1,971,116.00","1,984,493.00","1,999,554.00","2,012,228.00","2,020,396.00","2,031,529.00","2,042,753.00","2,054,879.00","2,069,960.00","2,084,042.00","2,095,040.00","2,107,649.00","2,117,729.00","2,122,544.00","2,128,106.00","2,136,269.00","2,146,562.00","2,155,674.00","2,166,029.00","2,179,082.00"
OH-Cincinnati Suburban,,,17140,402.46,"752,009.00","761,378.00","768,948.00","780,571.00","785,666.00","795,437.00","803,930.00","818,144.00","835,021.00","849,382.00","863,270.00","868,133.00","873,142.00","875,819.00","884,178.00","891,958.00","903,535.00","919,972.00","932,664.00","945,243.00","963,495.00","981,733.00","999,195.00","1,019,841.00","1,036,372.00","1,053,501.00","1,069,997.00","1,089,426.00","1,107,865.00","1,127,228.00","1,148,087.00","1,164,570.00","1,180,640.00","1,199,097.00","1,218,156.00","1,237,149.00","1,257,615.00","1,274,760.00","1,287,772.00","1,298,034.00","1,307,913.00","1,314,432.00","1,318,437.00","1,324,553.00","1,332,523.00","1,340,069.00","1,348,774.00","1,358,060.00"
OH-Cincinnati Urban,,,17140,"3,596.40","931,931.00","929,542.00","920,496.00","918,887.00","911,927.00","899,711.00","900,880.00","896,718.00","893,372.00","886,393.00","880,193.00","878,910.00","877,918.00","875,911.00","875,506.00","877,682.00","879,262.00","880,507.00","878,849.00","875,580.00","873,719.00","877,182.00","879,363.00","880,283.00","877,070.00","873,321.00","869,782.00","866,810.00","863,251.00","857,265.00","851,467.00","847,658.00","839,756.00","832,432.00","824,597.00","817,730.00","812,345.00","809,282.00","807,268.00","809,615.00","809,816.00","808,112.00","809,669.00","811,716.00","814,039.00","815,605.00","817,255.00","821,022.00"
NV-Las Vegas,,,29820,676.2,"277,230.00","292,999.00","307,421.00","319,395.00","336,925.00","351,336.00","369,517.00","389,956.00","412,904.00","441,350.00","469,200.00","492,744.00","513,706.00","530,198.00","544,895.00","561,074.00","580,772.00","611,756.00","647,414.00","691,470.00","756,170.00","816,085.00","857,357.00","902,338.00","972,624.00","1,035,847.00","1,099,894.00","1,177,230.00","1,251,258.00","1,321,254.00","1,393,909.00","1,460,500.00","1,522,962.00","1,584,166.00","1,662,773.00","1,729,522.00","1,803,774.00","1,867,817.00","1,912,349.00","1,939,407.00","1,952,906.00","1,966,521.00","1,996,290.00","2,026,056.00","2,064,991.00","2,110,330.00","2,156,724.00","2,204,079.00"
NV-Las Vegas Suburban,,,29820,676.2,"277,230.00","292,999.00","307,421.00","319,395.00","336,925.00","351,336.00","369,517.00","389,956.00","412,904.00","441,350.00","469,200.00","492,744.00","513,706.00","530,198.00","544,895.00","561,074.00","580,772.00","611,756.00","647,414.00","691,470.00","756,170.00","816,085.00","857,357.00","902,338.00","972,624.00","1,035,847.00","1,099,894.00","1,177,230.00","1,251,258.00","1,321,254.00","1,393,909.00","1,460,500.00","1,522,962.00","1,584,166.00","1,662,773.00","1,729,522.00","1,803,774.00","1,867,817.00","1,912,349.00","1,939,407.00","1,952,906.00","1,966,521.00","1,996,290.00","2,026,056.00","2,064,991.00","2,110,330.00","2,156,724.00","2,204,079.00"
NV-Las Vegas Urban,,,29820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO-Kansas City,,,28140,383.94,"1,420,198.00","1,432,353.00","1,439,852.00","1,454,634.00","1,450,970.00","1,443,828.00","1,452,126.00","1,455,126.00","1,468,794.00","1,475,690.00","1,484,495.00","1,489,783.00","1,494,569.00","1,502,660.00","1,518,790.00","1,536,364.00","1,554,477.00","1,576,596.00","1,593,975.00","1,602,721.00","1,618,905.00","1,636,516.00","1,653,327.00","1,673,964.00","1,693,952.00","1,710,587.00","1,733,398.00","1,756,537.00","1,776,976.00","1,796,711.00","1,817,929.00","1,837,551.00","1,858,778.00","1,875,142.00","1,892,097.00","1,909,428.00","1,931,764.00","1,954,688.00","1,973,888.00","1,994,834.00","2,013,412.00","2,024,880.00","2,038,501.00","2,054,039.00","2,069,602.00","2,085,221.00","2,106,382.00","2,128,912.00"
MO-Kansas City Suburban,,,28140,188.3,"357,717.00","364,270.00","374,209.00","385,256.00","388,368.00","393,097.00","395,227.00","397,761.00","404,377.00","406,636.00","411,278.00","413,425.00","415,977.00","418,520.00","424,106.00","429,862.00","435,951.00","445,007.00","452,808.00","457,825.00","466,176.00","473,951.00","480,176.00","488,975.00","497,382.00","505,632.00","513,804.00","523,582.00","531,419.00","541,224.00","549,798.00","558,613.00","567,276.00","574,263.00","583,520.00","592,039.00","602,723.00","613,547.00","621,194.00","628,259.00","635,259.00","638,808.00","642,266.00","646,750.00","651,095.00","655,735.00","664,133.00","673,551.00"
MO-Kansas City Urban,,,28140,"1,101.30","1,062,481.00","1,068,083.00","1,065,643.00","1,069,378.00","1,062,602.00","1,050,731.00","1,056,899.00","1,057,365.00","1,064,417.00","1,069,054.00","1,073,217.00","1,076,358.00","1,078,592.00","1,084,140.00","1,094,684.00","1,106,502.00","1,118,526.00","1,131,589.00","1,141,167.00","1,144,896.00","1,152,729.00","1,162,565.00","1,173,151.00","1,184,989.00","1,196,570.00","1,204,955.00","1,219,594.00","1,232,955.00","1,245,557.00","1,255,487.00","1,268,131.00","1,278,938.00","1,291,502.00","1,300,879.00","1,308,577.00","1,317,389.00","1,329,041.00","1,341,141.00","1,352,694.00","1,366,575.00","1,378,153.00","1,386,072.00","1,396,235.00","1,407,289.00","1,418,507.00","1,429,486.00","1,442,249.00","1,455,361.00"
TX-Austin,,,12420,380.74,"402,976.00","419,249.00","447,987.00","473,368.00","485,983.00","497,350.00","517,671.00","532,036.00","538,659.00","571,514.00","589,647.00","605,956.00","633,458.00","668,309.00","707,651.00","758,505.00","793,119.00","807,400.00","817,161.00","831,845.00","851,898.00","880,678.00","912,833.00","949,788.00","988,925.00","1,031,557.00","1,073,037.00","1,111,264.00","1,155,579.00","1,205,898.00","1,264,950.00","1,321,316.00","1,347,822.00","1,376,030.00","1,410,058.00","1,453,358.00","1,515,485.00","1,577,856.00","1,633,870.00","1,682,338.00","1,727,495.00","1,780,610.00","1,834,566.00","1,883,528.00","1,942,255.00","2,000,784.00","2,060,558.00","2,115,827.00"
TX-Austin Suburban,,,12420,217.33,"104,515.00","108,985.00","115,829.00","124,095.00","127,119.00","127,678.00","131,593.00","138,649.00","148,090.00","157,147.00","167,632.00","175,517.00","183,647.00","194,427.00","208,239.00","227,997.00","245,699.00","255,258.00","259,937.00","266,441.00","270,874.00","278,565.00","287,886.00","300,562.00","317,166.00","335,279.00","355,843.00","374,677.00","394,244.00","417,398.00","445,258.00","476,439.00","499,732.00","519,715.00","539,249.00","562,092.00","590,334.00","622,457.00","653,171.00","675,835.00","696,973.00","718,923.00","738,031.00","761,568.00","790,868.00","822,492.00","855,976.00","889,129.00"
TX-Austin Urban,,,12420,"1,034.40","298,461.00","310,264.00","332,158.00","349,273.00","358,864.00","369,672.00","386,078.00","393,387.00","390,569.00","414,367.00","422,015.00","430,439.00","449,811.00","473,882.00","499,412.00","530,508.00","547,420.00","552,142.00","557,224.00","565,404.00","581,024.00","602,113.00","624,947.00","649,226.00","671,759.00","696,278.00","717,194.00","736,587.00","761,335.00","788,500.00","819,692.00","844,877.00","848,090.00","856,315.00","870,809.00","891,266.00","925,151.00","955,399.00","980,699.00","1,006,503.00","1,030,522.00","1,061,687.00","1,096,535.00","1,121,960.00","1,151,387.00","1,178,292.00","1,204,582.00","1,226,698.00"
OH-Cleveland,,,17460,"1,128.32","2,318,953.00","2,312,517.00","2,277,631.00","2,266,055.00","2,247,628.00","2,237,558.00","2,219,925.00","2,213,642.00","2,206,853.00","2,184,605.00","2,172,343.00","2,162,119.00","2,150,684.00","2,146,546.00","2,141,293.00","2,131,241.00","2,120,606.00","2,113,891.00","2,102,073.00","2,103,702.00","2,104,288.00","2,117,512.00","2,131,036.00","2,140,398.00","2,146,303.00","2,150,203.00","2,153,598.00","2,152,676.00","2,151,568.00","2,149,943.00","2,147,532.00","2,141,787.00","2,136,201.00","2,131,150.00","2,122,934.00","2,111,699.00","2,099,415.00","2,091,596.00","2,085,110.00","2,081,063.00","2,075,557.00","2,068,991.00","2,064,711.00","2,065,844.00","2,066,227.00","2,062,842.00","2,060,065.00","2,058,844.00"
OH-Cleveland Suburban,,,17460,418.67,"403,380.00","406,804.00","409,430.00","420,657.00","427,085.00","433,094.00","432,105.00","444,531.00","457,005.00","457,902.00","462,895.00","462,234.00","461,714.00","460,011.00","459,408.00","459,035.00","458,983.00","461,638.00","466,894.00","471,470.00","476,006.00","481,605.00","487,751.00","491,372.00","496,982.00","502,797.00","508,821.00","514,589.00","518,237.00","522,586.00","528,025.00","531,619.00","536,961.00","543,989.00","548,391.00","553,440.00","558,396.00","561,126.00","563,727.00","566,027.00","567,366.00","568,596.00","569,016.00","571,337.00","574,106.00","575,314.00","577,341.00","580,213.00"
OH-Cleveland Urban,,,17460,"2,192.80","1,915,573.00","1,905,713.00","1,868,201.00","1,845,398.00","1,820,543.00","1,804,464.00","1,787,820.00","1,769,111.00","1,749,848.00","1,726,703.00","1,709,448.00","1,699,885.00","1,688,970.00","1,686,535.00","1,681,885.00","1,672,206.00","1,661,623.00","1,652,253.00","1,635,179.00","1,632,232.00","1,628,282.00","1,635,907.00","1,643,285.00","1,649,026.00","1,649,321.00","1,647,406.00","1,644,777.00","1,638,087.00","1,633,331.00","1,627,357.00","1,619,507.00","1,610,168.00","1,599,240.00","1,587,161.00","1,574,543.00","1,558,259.00","1,541,019.00","1,530,470.00","1,521,383.00","1,515,036.00","1,508,191.00","1,500,395.00","1,495,695.00","1,494,507.00","1,492,121.00","1,487,528.00","1,482,724.00","1,478,631.00"
OH-Columbus,,,18140,"1,292.65","1,224,197.00","1,246,879.00","1,258,529.00","1,271,425.00","1,286,919.00","1,299,633.00","1,302,539.00","1,315,845.00","1,323,895.00","1,330,421.00","1,329,546.00","1,340,612.00","1,343,988.00","1,351,995.00","1,362,120.00","1,374,439.00","1,388,041.00","1,405,634.00","1,430,103.00","1,447,921.00","1,468,263.00","1,492,559.00","1,517,612.00","1,540,611.00","1,560,222.00","1,579,412.00","1,593,111.00","1,613,135.00","1,636,690.00","1,658,194.00","1,682,068.00","1,706,779.00","1,726,352.00","1,749,262.00","1,769,572.00","1,791,126.00","1,816,992.00","1,841,539.00","1,865,647.00","1,887,548.00","1,906,365.00","1,926,142.00","1,946,644.00","1,971,120.00","1,998,460.00","2,023,198.00","2,046,977.00","2,078,725.00"
OH-Columbus Suburban,,,18140,169.43,"246,600.00","251,814.00","255,325.00","258,291.00","262,901.00","271,075.00","269,813.00","272,323.00","276,256.00","278,485.00","280,184.00","281,590.00","282,282.00","282,927.00","283,637.00","286,976.00","287,450.00","289,625.00","292,593.00","296,567.00","299,348.00","302,881.00","307,697.00","312,013.00","315,899.00","319,788.00","318,079.00","320,558.00","327,532.00","329,868.00","333,468.00","336,091.00","338,615.00","342,735.00","346,728.00","350,779.00","355,310.00","359,748.00","362,927.00","364,220.00","366,190.00","366,692.00","366,892.00","367,456.00","369,533.00","370,894.00","372,065.00","374,806.00"
OH-Columbus Urban,,,18140,"2,977.48","977,597.00","995,065.00","1,003,204.00","1,013,134.00","1,024,018.00","1,028,558.00","1,032,726.00","1,043,522.00","1,047,639.00","1,051,936.00","1,049,362.00","1,059,022.00","1,061,706.00","1,069,068.00","1,078,483.00","1,087,463.00","1,100,591.00","1,116,009.00","1,137,510.00","1,151,354.00","1,168,915.00","1,189,678.00","1,209,915.00","1,228,598.00","1,244,323.00","1,259,624.00","1,275,032.00","1,292,577.00","1,309,158.00","1,328,326.00","1,348,600.00","1,370,688.00","1,387,737.00","1,406,527.00","1,422,844.00","1,440,347.00","1,461,682.00","1,481,791.00","1,502,720.00","1,523,328.00","1,540,175.00","1,559,450.00","1,579,752.00","1,603,664.00","1,628,927.00","1,652,304.00","1,674,912.00","1,703,919.00"
IN-Indianapolis,,,26900,850.68,"1,287,828.00","1,295,874.00","1,306,512.00","1,311,516.00","1,320,527.00","1,318,412.00","1,322,177.00","1,327,644.00","1,336,990.00","1,342,235.00","1,348,931.00","1,350,656.00","1,351,408.00","1,352,541.00","1,360,970.00","1,367,224.00","1,375,297.00","1,388,475.00","1,398,252.00","1,411,894.00","1,431,307.00","1,457,442.00","1,481,005.00","1,505,485.00","1,529,405.00","1,551,504.00","1,573,626.00","1,594,815.00","1,615,438.00","1,639,509.00","1,663,995.00","1,687,209.00","1,708,018.00","1,729,297.00","1,750,639.00","1,772,959.00","1,800,724.00","1,826,515.00","1,850,321.00","1,873,460.00","1,892,470.00","1,910,429.00","1,928,986.00","1,953,213.00","1,970,850.00","1,986,872.00","2,005,612.00","2,028,614.00"
IN-Indianapolis Suburban,,,26900,390.87,"339,651.00","343,893.00","348,943.00","353,571.00","356,797.00","359,674.00","364,316.00","368,559.00","373,168.00","377,995.00","383,277.00","382,305.00","381,465.00","380,542.00","380,723.00","380,976.00","381,952.00","383,767.00","384,682.00","387,046.00","391,823.00","397,005.00","402,971.00","409,160.00","416,347.00","422,899.00","429,462.00","436,279.00","443,036.00","450,368.00","458,707.00","465,294.00","473,063.00","479,982.00","487,262.00","494,359.00","503,147.00","511,180.00","517,565.00","522,537.00","526,896.00","529,944.00","532,218.00","536,943.00","540,893.00","544,579.00","549,511.00","556,493.00"
IN-Indianapolis Urban,,,26900,"1,655.35","948,177.00","951,981.00","957,569.00","957,945.00","963,730.00","958,738.00","957,861.00","959,085.00","963,822.00","964,240.00","965,654.00","968,351.00","969,943.00","971,999.00","980,247.00","986,248.00","993,345.00","1,004,708.00","1,013,570.00","1,024,848.00","1,039,484.00","1,060,437.00","1,078,034.00","1,096,325.00","1,113,058.00","1,128,605.00","1,144,164.00","1,158,536.00","1,172,402.00","1,189,141.00","1,205,288.00","1,221,915.00","1,234,955.00","1,249,315.00","1,263,377.00","1,278,600.00","1,297,577.00","1,315,335.00","1,332,756.00","1,350,923.00","1,365,574.00","1,380,485.00","1,396,768.00","1,416,270.00","1,429,957.00","1,442,293.00","1,456,101.00","1,472,121.00"
CA-San Jose,,,41940,710.4,"1,090,661.00","1,119,153.00","1,157,843.00","1,183,574.00","1,184,824.00","1,213,692.00","1,228,574.00","1,254,390.00","1,284,001.00","1,295,695.00","1,326,086.00","1,350,621.00","1,371,961.00","1,401,779.00","1,425,186.00","1,449,920.00","1,461,571.00","1,480,542.00","1,506,609.00","1,534,251.00","1,535,142.00","1,550,447.00","1,570,207.00","1,588,680.00","1,602,152.00","1,622,579.00","1,652,864.00","1,684,121.00","1,708,031.00","1,722,965.00","1,738,728.00","1,742,726.00","1,724,404.00","1,718,790.00","1,718,016.00","1,729,959.00","1,745,283.00","1,766,098.00","1,795,231.00","1,819,573.00","1,842,074.00","1,869,846.00","1,898,569.00","1,928,305.00","1,954,220.00","1,977,584.00","1,990,910.00","1,998,463.00"
CA-San Jose Suburban,,,41940,39.8,"18,316.00","18,674.00","19,087.00","19,659.00","20,206.00","20,918.00","21,871.00","22,759.00","23,640.00","24,321.00","25,202.00","25,903.00","26,915.00","27,759.00","28,960.00","30,392.00","31,648.00","32,950.00","34,372.00","36,135.00","36,835.00","37,329.00","38,321.00","39,495.00","40,786.00","42,334.00","44,169.00","46,707.00","49,071.00","51,467.00","53,781.00","54,644.00","55,056.00","55,198.00","54,849.00","54,647.00","54,124.00","54,072.00","54,267.00","54,436.00","55,532.00","56,034.00","56,701.00","57,370.00","57,974.00","58,364.00","59,335.00","60,310.00"
CA-San Jose Urban,,,41940,"1,381.00","1,072,345.00","1,100,479.00","1,138,756.00","1,163,915.00","1,164,618.00","1,192,774.00","1,206,703.00","1,231,631.00","1,260,361.00","1,271,374.00","1,300,884.00","1,324,718.00","1,345,046.00","1,374,020.00","1,396,226.00","1,419,528.00","1,429,923.00","1,447,592.00","1,472,237.00","1,498,116.00","1,498,307.00","1,513,118.00","1,531,886.00","1,549,185.00","1,561,366.00","1,580,245.00","1,608,695.00","1,637,414.00","1,658,960.00","1,671,498.00","1,684,947.00","1,688,082.00","1,669,348.00","1,663,592.00","1,663,167.00","1,675,312.00","1,691,159.00","1,712,026.00","1,740,964.00","1,765,137.00","1,786,542.00","1,813,812.00","1,841,868.00","1,870,935.00","1,896,246.00","1,919,220.00","1,931,575.00","1,938,153.00"
TN-Nashville,,,34980,260.77,"796,368.00","806,662.00","831,026.00","842,155.00","859,959.00","879,435.00","891,201.00","909,982.00","930,385.00","948,899.00","966,502.00","974,845.00","980,864.00","990,299.00","1,005,243.00","1,020,612.00","1,041,243.00","1,065,813.00","1,080,716.00","1,094,074.00","1,108,523.00","1,130,775.00","1,155,871.00","1,186,057.00","1,219,138.00","1,250,936.00","1,282,177.00","1,313,031.00","1,338,997.00","1,362,545.00","1,387,417.00","1,409,191.00","1,427,867.00","1,450,015.00","1,478,449.00","1,511,310.00","1,553,397.00","1,592,365.00","1,626,925.00","1,654,243.00","1,675,757.00","1,697,833.00","1,726,698.00","1,757,891.00","1,792,756.00","1,829,513.00","1,868,855.00","1,903,045.00"
TN-Nashville Suburban,,,34980,185.19,"347,597.00","354,295.00","374,747.00","389,743.00","404,667.00","416,810.00","428,832.00","447,841.00","462,662.00","475,174.00","488,227.00","495,361.00","500,171.00","504,391.00","515,990.00","528,297.00","542,030.00","558,566.00","570,298.00","581,628.00","596,384.00","613,841.00","630,698.00","651,915.00","675,617.00","699,475.00","723,844.00","748,027.00","772,847.00","795,294.00","816,978.00","835,072.00","853,652.00","872,784.00","895,436.00","921,523.00","955,800.00","987,334.00","1,014,276.00","1,033,235.00","1,047,784.00","1,062,231.00","1,077,372.00","1,098,023.00","1,122,442.00","1,148,228.00","1,179,954.00","1,211,802.00"
TN-Nashville Urban,,,34980,"1,243.30","448,771.00","452,367.00","456,279.00","452,412.00","455,292.00","462,625.00","462,369.00","462,141.00","467,723.00","473,725.00","478,275.00","479,484.00","480,693.00","485,908.00","489,253.00","492,315.00","499,213.00","507,247.00","510,418.00","512,446.00","512,139.00","516,934.00","525,173.00","534,142.00","543,521.00","551,461.00","558,333.00","565,004.00","566,150.00","567,251.00","570,439.00","574,119.00","574,215.00","577,231.00","583,013.00","589,787.00","597,597.00","605,031.00","612,649.00","621,008.00","627,973.00","635,602.00","649,326.00","659,868.00","670,314.00","681,285.00","688,901.00","691,243.00"
VA-Virginia Beach,,,47260,"1,245.99","1,066,972.00","1,077,018.00","1,077,202.00","1,099,470.00","1,119,140.00","1,127,107.00","1,140,913.00","1,159,241.00","1,169,655.00","1,171,034.00","1,216,045.00","1,241,368.00","1,249,539.00","1,280,823.00","1,307,988.00","1,320,465.00","1,353,494.00","1,392,903.00","1,419,731.00","1,436,653.00","1,460,246.00","1,472,822.00","1,505,656.00","1,526,947.00","1,536,791.00","1,544,193.00","1,551,433.00","1,556,639.00","1,557,271.00","1,568,344.00","1,584,803.00","1,593,489.00","1,608,368.00","1,616,332.00","1,642,657.00","1,649,013.00","1,665,757.00","1,663,563.00","1,662,528.00","1,668,443.00","1,679,945.00","1,686,564.00","1,697,398.00","1,705,320.00","1,714,857.00","1,720,356.00","1,722,766.00","1,725,246.00"
VA-Virginia Beach Suburban,,,47260,398.92,"206,770.00","212,044.00","218,910.00","225,015.00","231,574.00","235,657.00","243,794.00","250,215.00","256,775.00","259,935.00","299,124.00","302,531.00","308,228.00","314,368.00","322,708.00","332,026.00","340,632.00","352,240.00","362,991.00","371,750.00","381,176.00","390,264.00","400,657.00","414,883.00","427,551.00","439,214.00","449,030.00","458,414.00","466,323.00","473,928.00","484,260.00","492,109.00","501,450.00","512,649.00","526,509.00","537,719.00","548,169.00","553,860.00","558,654.00","563,810.00","570,559.00","573,415.00","577,780.00","582,141.00","589,179.00","594,654.00","600,161.00","606,448.00"
