Region,Lat,Long,CBSA_Code,Pop_Density,Yr_1991,Yr_1992,Yr_1993,Yr_1994,Yr_1995,Yr_1996,Yr_1997,Yr_1998,Yr_1999,Yr_2000,Yr_2001,Yr_2002,Yr_2003,Yr_2004,Yr_2005,Yr_2006,Yr_2007,Yr_2008,Yr_2009,Yr_2010,Yr_2011,Yr_2012,Yr_2013,Yr_2014,Yr_2015,Yr_2016,Yr_2017
FL-Jacksonville Urban,30.3322,-81.6557,27260,"2,919.35",-0.13%,0.59%,1.91%,3.15%,3.13%,0.71%,1.78%,2.12%,1.68%,2.75%,0.05%,-2.20%,0.03%,1.22%,3.89%,3.14%,1.48%,-0.87%,-5.53%,1.76%,1.60%,1.73%,1.56%,1.47%,1.02%,2.73%,4.24%
OK-Oklahoma City Urban,35.4676,-97.5164,36420,"1,013.80",-2.17%,0.31%,0.77%,1.32%,2.38%,2.75%,1.15%,1.15%,2.78%,-2.16%,0.19%,-0.05%,-1.63%,1.15%,0.50%,-0.98%,-1.80%,0.76%,-1.74%,8.66%,1.79%,2.94%,0.87%,0.44%,2.20%,-0.20%,0.78%
TN-Memphis Urban,35.1495,-90.049,32820,"1,129.15",-1.24%,-0.29%,1.45%,4.60%,3.37%,1.72%,1.44%,1.86%,1.45%,-3.10%,-0.32%,-0.52%,-0.99%,-2.64%,0.36%,4.38%,1.32%,-3.32%,-3.85%,2.92%,0.79%,-0.18%,-1.74%,-0.74%,1.36%,2.21%,2.15%
NC-Raleigh Urban,35.7796,-78.6382,39580,"1,632.45",2.17%,3.72%,3.50%,4.34%,3.86%,7.22%,5.19%,3.23%,3.20%,0.64%,1.20%,-1.84%,2.51%,2.13%,3.63%,6.10%,3.36%,2.07%,-3.32%,4.41%,1.90%,3.70%,2.69%,3.52%,3.41%,4.15%,2.78%
KY-Louisville Urban,38.2527,-85.7585,31140,"1,581.80",-1.87%,1.28%,0.98%,1.94%,0.92%,0.26%,2.49%,1.68%,1.50%,-3.34%,-3.32%,-2.72%,-0.70%,0.86%,0.77%,1.45%,0.73%,-1.13%,-2.77%,4.94%,0.68%,2.74%,1.28%,-0.41%,-0.07%,2.64%,3.66%
VA-Richmond Urban,37.5407,-77.436,40060,"2,131.02",-0.35%,-0.71%,0.55%,1.69%,0.19%,-2.05%,1.06%,0.27%,0.46%,2.88%,-0.20%,-0.83%,-0.24%,1.27%,2.10%,1.76%,2.55%,1.08%,-4.49%,1.97%,2.11%,2.05%,1.43%,2.04%,0.95%,1.84%,2.03%
LA-New Orleans Urban,29.9511,-90.0715,35380,"1,746.25",0.53%,-2.87%,-0.53%,2.04%,1.15%,1.48%,2.17%,1.10%,-0.68%,-0.87%,-2.41%,-2.91%,-0.64%,0.39%,-1.18%,-2.74%,1.42%,5.59%,-0.35%,5.02%,0.09%,1.27%,2.41%,2.82%,1.47%,-0.62%,0.25%
CT-Hartford Urban,41.7658,-72.6734,25540,"1,918.90",-0.70%,-2.94%,-1.16%,-1.58%,-2.21%,0.04%,0.44%,0.56%,1.57%,2.75%,-1.00%,-1.09%,-1.03%,-0.15%,1.64%,2.44%,1.51%,0.46%,-1.49%,0.77%,0.50%,-0.99%,-0.22%,2.13%,1.24%,0.62%,2.23%
UT-Salt Lake City Urban,40.7608,-111.891,41620,"1,387.10",2.80%,3.96%,6.40%,5.10%,3.20%,1.69%,2.94%,1.34%,1.50%,-0.68%,-0.02%,-1.09%,0.43%,1.66%,4.44%,4.52%,3.43%,0.34%,-4.48%,-1.62%,0.75%,3.36%,3.50%,1.79%,2.15%,3.34%,2.75%
AL-Brimingham Urban,33.5207,-86.8025,13820,"1,581.80",-0.07%,1.59%,1.81%,2.67%,2.65%,1.93%,2.94%,1.45%,0.05%,-1.58%,-0.65%,-1.38%,0.11%,0.84%,0.85%,1.19%,-0.02%,-1.87%,-6.67%,4.02%,1.81%,1.43%,0.57%,-0.07%,-0.24%,0.52%,1.39%
NY-Buffalo Urban,42.8864,-78.8784,15380,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY-Rochester Urban,43.1566,-77.6088,40380,"2,053.50",0.02%,-0.31%,1.31%,-0.28%,0.26%,1.21%,1.58%,0.37%,-1.21%,-2.72%,-1.00%,-0.67%,-0.61%,0.16%,1.45%,-0.14%,-0.84%,0.22%,-3.26%,0.36%,-0.88%,0.40%,0.19%,-0.71%,0.73%,-0.30%,-0.21%
MI-Grand Rapids Urban,42.9634,-85.6681,24340,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ-Tucson Urban,32.2226,-110.9747,46060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
